"Cell.line"	"Timepoint"	"Plate"	"Well"	"Chemical.Number"	"Chemical.Concentration"	"Solvent"	"baseline"	"height"	"amplitude"	"notch.amp"	"notch.frac"	"n.peaks"	"n.peaks.expected"	"BPM"	"peak.max.avg"	"peak.max.sd"	"peak.max.cv"	"peak.amp.avg"	"peak.amp.sd"	"peak.amp.cv"	"peak.spacing.avg"	"peak.spacing.sd"	"peak.spacing.cv"	"peak.freq.avg"	"peak.freq.sd"	"peak.freq.cv"	"peak.width.avg"	"peak.width.sd"	"peak.width.cv"	"rise.times.avg"	"rise.times.sd"	"rise.times.cv"	"decay.times.avg"	"decay.times.sd"	"decay.times.cv"	"decay.rise.ratio.avg"	"decay.rise.ratio.sd"	"decay.rise.ratio.cv"
1083	"90min"	1	"I14"	35	1	"DMSO"	929.080234833659	1546.30136986301	617.221135029354	0	0	55	55.3930436847104	36.7176634214186	1565.32727272727	15.8873983902157	0.010149569784557	636.247037893613	15.8873983902157	0.0249704870026793	1.625	0.0642445210937558	0.0395350899038497	0.61633428300095	0.0245276806218062	0.0397960673262896	1.24545454545455	0.0478933298463475	0.0384544984167754	0.35	0.0504608392349582	0.144173826385595	0.895454545454546	0.0625630994607957	0.0698674207176398	2.64848484848485	0.651583010064614	0.246021044990072
1083	"90min"	1	"J14"	35	0.1	"DMSO"	893.821917808219	1720.91780821918	827.095890410959	0	0	52	52.2463098992511	34.7148817802504	1735.63461538462	16.6333339378606	0.00958343063132253	841.812697576396	16.6333339378606	0.019758948737348	1.72549019607843	0.0936069169557506	0.0542494632357191	0.581321946027828	0.0336167167832329	0.0578280538227326	1.14663461538462	0.0641744035609073	0.0559676140069967	0.358173076923077	0.0496855686444603	0.138719439973795	0.788461538461538	0.0582551728035463	0.0738846094093758	2.26282051282051	0.487698514239091	0.215526822156652
1348	"90min"	1	"G14"	35	100	"DMSO"	818.499021526419	818.499021526419	0	0	0	0	0	0	818.499021526419	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
1348	"90min"	1	"H14"	35	10	"DMSO"	801.984344422701	801.984344422701	0	0	0	0	0	0	801.984344422701	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
1348	"90min"	1	"I14"	35	1	"DMSO"	693.835616438356	1574.1095890411	880.27397260274	1039.65753424658	0.392857142857143	21	21.3054359765656	14.019471488178	1595.7619047619	12.7354024746168	0.00798076607582445	901.926288323549	12.7354024746168	0.0141202253881397	4.225	0.17013926184468	0.0402696477738888	0.237056311283067	0.00967964923730663	0.0408326999813486	2.80357142857143	0.0845154254728517	0.0301456294680235	0.541666666666667	0.0822850735755479	0.15191090506255	2.26190476190476	0.0960530607330681	0.0424655636925143	4.27857142857143	0.739766157818786	0.172900270608731
1348	"90min"	1	"J14"	35	0.1	"DMSO"	719.080234833659	1672.23874755382	953.158512720157	0	0	25	25.8627853476345	16.6898470097357	1693.52	10.1534887271978	0.00599549383957546	974.439765166341	10.1534887271978	0.0104198218198378	3.48958333333333	0.223960966448963	0.0641798590420909	0.287763953798437	0.0194936152587098	0.0677416855078523	1.8	0.0625	0.0347222222222222	0.52	0.0467707173346743	0.0899436871820659	1.28	0.0653516130889922	0.0510559477257751	2.482	0.263739138796905	0.106260732794885
1063	"90min"	1	"G14"	35	100	"DMSO"	840.12915851272	1156.00782778865	315.878669275929	0	0	53	54.4694667511975	35.3824756606398	1175.35849056604	11.9390992116443	0.0101578363601173	335.229332053318	11.9390992116443	0.0356147212372974	1.65384615384615	0.080650634758059	0.0487655000862682	0.606058044519583	0.0294859380760623	0.0486520034552722	1.09669811320755	0.0836426889778687	0.0762677422077771	0.311320754716981	0.063086867335355	0.202642664774171	0.785377358490566	0.0789708384383595	0.100551457951545	2.64465408805031	0.658635711026008	0.24904418086358
1063	"90min"	1	"H14"	35	10	"DMSO"	751.716242661448	1529.22309197652	777.506849315068	1022.80821917808	0.348668280871671	26	26.5737265799335	17.3574408901252	1542.69230769231	11.8009126113847	0.00764955691588138	790.97606503086	11.8009126113847	0.014919430730087	3.385	0.10155048005795	0.0300001418191874	0.295674287398425	0.00880097866730132	0.0297657897301089	2.33173076923077	0.0701988932632461	0.0301059171108354	0.471153846153846	0.0537086155529575	0.113993796275665	1.86057692307692	0.0889306125367067	0.0477973318026744	4.0224358974359	0.686601005075684	0.170692839508855
1063	"90min"	1	"I14"	35	1	"DMSO"	798.602739726027	1882.37377690802	1083.771037182	0	0	27	27.4423623242854	18.0250347705146	1899.66666666667	13.338780938417	0.0070216428873927	1101.06392694064	13.338780938417	0.0121144473195843	3.27884615384615	0.113510419718259	0.0346190136384134	0.305339219185373	0.0106357616543664	0.0348326090658843	1.57407407407407	0.0625889680165676	0.0397624032105253	0.490740740740741	0.0769453315385933	0.156794260493737	1.08333333333333	0.0849207775608447	0.0783884100561643	2.2820987654321	0.516437623464868	0.22629941845093
1063	"90min"	1	"J14"	35	0.1	"DMSO"	792.391389432485	1876.11741682975	1083.72602739726	0	0	29	29.3839291686574	19.3602225312935	1893.13793103448	12.5974037515985	0.00665424507379386	1100.746541602	12.5974037515985	0.0114444181975485	3.0625	0.110239637961025	0.0359966164770693	0.326942188246536	0.0118668086084839	0.0362963515725159	1.48275862068966	0.0438664003964748	0.0295843165464597	0.487068965517241	0.0610988257044524	0.125441836844539	0.995689655172414	0.0623458690625334	0.0626157645996007	2.09080459770115	0.40065883754772	0.191629020707266
1368	"90min"	1	"G14"	35	100	"DMSO"	768.906066536204	1631.90019569472	862.994129158513	0	0	28	29.0279598163881	18.692628650904	1646.17857142857	13.4082715527299	0.00814508935145114	877.272504892368	13.4082715527299	0.015284043986281	3.11111111111111	0.233424890461963	0.0750294290770596	0.32298147222685	0.021567606173001	0.0667766049374274	1.84821428571429	0.231633547935312	0.125328296467415	0.4375	0.0636468846521644	0.145478593490662	1.41071428571429	0.251976315339485	0.178616122265964	3.32738095238095	0.946057601471899	0.284325003662395
1368	"90min"	1	"H14"	35	10	"DMSO"	799.53228962818	1762.03718199609	962.504892367906	0	0	36	36.4519871106337	24.0333796940195	1781.25	15.1645733772594	0.00851344470302284	981.71771037182	15.1645733772594	0.0154469795309244	2.46785714285714	0.076353336094588	0.0309391231642325	0.405585392051557	0.0125030746548015	0.0308272312066212	1.39583333333333	0.0761811750275055	0.0545775582286607	0.420138888888889	0.0608920134466524	0.144933056798644	0.975694444444444	0.0780306970527605	0.0799745222462456	2.37731481481481	0.428399620177121	0.180203150843735
