"","Cell.line","baseline","treatment"
"392","11235",4542.785279,3827.515253
"393","11235",4017.473006,3633.650033
"394","11235",4533.197407,3917.182648
"395","11235",0,0
"396","11235",0,0
"397","11235",0,0
"398","11235",0,0
"399","11235",0,0
"400","11235",0,0
"401","11235",0,0
"402","11235",0,0
"403","11235",0,0
"404","11235",0,0
"405","11235",0,0
"406","11235",0,0
"407","11235",0,0
"408","11235",0,0
"409","11235",0,0
"410","11235",0,0
"411","11235",0,0
"412","11235",0,0
"413","11235",0,0
"414","11235",0,0
"415","11235",0,0
"416","11235",0,0
"417","11235",0,0
"418","11235",0,0
"419","11235",0,0
"420","11235",0,0
"421","11235",0,0
"422","11235",0,0
"423","11235",0,0
"424","11235",0,0
"425","11235",0,0
"426","11235",0,0
"427","11235",0,0
"428","11235",0,0
"429","11235",0,0
"430","11235",0,0
"431","11235",0,0
"432","11235",0,0
"433","11235",0,0
"434","11235",0,0
"435","11235",0,0
"436","11235",0,0
"437","11235",0,0
"438","11235",0,0
"439","11235",0,0
"440","11235",0,0
"441","11235",0,0
"442","11235",0,0
"443","11235",0,0
"444","11235",0,0
"445","11235",0,0
"446","11235",0,0
"447","11235",0,0
"448","11235",0,0
"449","11235",0,0
"450","11235",0,0
"451","11235",0,0
"452","11235",0,0
"453","11235",0,0
"454","11235",0,0
"455","11235",0,0
"456","11235",0,0
"457","11235",0,0
"458","11235",0,0
"459","11235",0,0
"460","11235",0,0
"461","11235",0,0
"462","11235",0,0
"463","11235",0,0
"464","11235",0,0
"465","11235",0,0
"466","11235",0,0
"467","11235",0,0
"468","11235",0,0
"469","11235",0,0
"470","11235",0,0
"471","11237",4474.886171,4259.347527
"472","11237",4937.74258,4033.651474
"473","11237",4773.431432,3823.897024
"474","11237",4735.050726,3701.889759
"475","11237",3881.39417,3280.311781
"476","11237",3827.589917,2937.922505
"477","11237",4058.351933,3081.819645
"478","11237",4056.580235,2813.952727
"479","11237",4532.980822,4435.533572
"480","11237",4522.931507,4254.197869
"481","11237",4699.740705,4583.389367
"482","11237",4628.421673,4663.043053
"483","11237",4008.075898,2562.643444
"484","11237",4143.381705,2820.159527
"485","11237",4102.739366,2746.592237
"486","11237",4258.498315,2905.355657
"487","11237",4114.112035,2918.134051
"488","11237",4297.59307,3092.68138
"489","11237",0,0
"490","11237",0,0
"491","11237",0,0
"492","11237",0,0
"493","11237",0,0
"494","11237",0,0
"495","11237",0,0
"496","11237",0,0
"497","11237",0,0
"498","11237",0,0
"499","11237",0,0
"500","11237",0,0
"501","11237",0,0
"502","11237",0,0
"503","11237",0,0
"504","11237",0,0
"505","11237",0,0
"506","11237",0,0
"507","11237",0,0
"508","11237",0,0
"509","11237",0,0
"510","11237",0,0
"511","11237",0,0
"512","11237",0,0
"513","11237",0,0
"514","11237",0,0
"515","11237",0,0
"516","11237",0,0
"517","11237",0,0
"518","11237",0,0
"519","11237",0,0
"520","11237",0,0
"521","11237",0,0
"522","11237",0,0
"523","11237",0,0
"524","11237",0,0
"525","11237",0,0
"526","11237",0,0
"527","11237",0,0
"528","11237",0,0
"529","11237",0,0
"530","11237",0,0
"531","11237",0,0
"532","11237",0,0
"533","11237",0,0
"534","11237",0,0
"535","11237",0,0
"536","11237",0,0
"537","11237",0,0
"538","11237",0,0
"539","11237",0,0
"540","11237",0,0
"541","11237",0,0
"542","11237",0,0
"543","11237",0,0
"544","11237",0,0
"545","11237",0,0
"546","11237",0,0
"547","11237",0,0
"548","11237",0,0
"549","11237",0,0
"550","11237",0,0
"551","11237",0,0
"552","11237",0,0
"553","11237",0,0
"554","11237",0,0
"555","11237",0,0
"556","11237",0,0
"557","11237",0,0
"558","11237",0,0
"559","11237",0,0
"560","11237",0,0
"561","11237",0,0
"562","11237",0,0
"563","11237",0,0
"564","11237",0,0
"565","11237",5008.711694,4280.024491
"566","11237",4961.24364,4311.594586
"567","11237",4644.471233,3853.19923
"568","11237",4584.963699,3822.429028
"569","11237",3921.307632,3120.478571
"570","11237",3833.656212,3122.155546
"571","11237",4032.506849,3365.486693
"572","11237",3832.856731,3197.882975
"573","11237",4852.358828,4398.806001
"574","11237",4294.340635,4478.742263
"575","11237",4956.22819,4664.267022
"576","11237",4840.42224,4612.623092
"577","11237",3812.272439,2891.337047
"578","11237",4104.005765,3008.909119
"579","11237",3835.45417,3183.652397
"580","11237",4179.335214,3300.659002
"581","11237",4053.057534,3135.62182
"582","11237",4219.265616,3291.271119
"583","11237",0,0
"584","11237",0,0
"585","11237",0,0
"586","11237",0,0
"587","11237",0,0
"588","11237",0,0
"589","11237",0,0
"590","11237",0,0
"591","11237",0,0
"592","11237",0,0
"593","11237",0,0
"594","11237",0,0
"595","11237",0,0
"596","11237",0,0
"597","11237",0,0
"598","11237",0,0
"599","11237",0,0
"600","11237",0,0
"601","11237",0,0
"602","11237",0,0
"603","11237",0,0
"604","11237",0,0
"605","11237",0,0
"606","11237",0,0
"607","11237",0,0
"608","11237",0,0
"609","11237",0,0
"610","11237",0,0
"611","11237",0,0
"612","11237",0,0
"613","11237",0,0
"614","11237",0,0
"615","11237",0,0
"616","11237",0,0
"617","11237",0,0
"618","11237",0,0
"619","11237",0,0
"620","11237",0,0
"621","11237",0,0
"622","11237",0,0
"623","11237",0,0
"624","11237",0,0
"625","11237",0,0
"626","11237",0,0
"627","11237",0,0
"628","11237",0,0
"629","11237",0,0
"630","11237",0,0
"631","11237",0,0
"632","11237",0,0
"633","11237",0,0
"634","11237",0,0
"635","11237",0,0
"636","11237",0,0
"637","11237",0,0
"638","11237",0,0
"639","11237",0,0
"640","11237",0,0
"641","11237",0,0
"642","11237",0,0
"643","11237",0,0
"644","11237",0,0
"645","11237",0,0
"646","11237",0,0
"647","11237",0,0
"648","11237",0,0
"649","11237",0,0
"650","11237",0,0
"651","11237",75.6493803,0
"652","11237",81.79060665,0
"653","11237",0,0
"654","11237",0,0
"655","11237",0,0
"656","11237",0,0
"657","11237",0,0
"658","11237",0,0
"659","11237",5117.651272,4319.432094
"660","11237",4786.740807,4215.564043
"661","11237",4710.507313,4051.244557
"662","11237",4682.364944,3845.042041
"663","11237",4054.098958,3082.645303
"664","11237",3800.161345,2911.040705
"665","11237",4079.436814,3164.256482
"666","11237",3950.123826,3124.646361
"667","11237",4609.796086,4478.138741
"668","11237",4552.776517,4487.773574
"669","11237",4402.123288,4342.994419
"670","11237",4604.724991,4510.686961
"671","11237",3926.105516,2811.601725
"672","11237",4175.950173,3157.161736
"673","11237",3948.386312,2893.750163
"674","11237",4146.9243,2847.479452
"675","11237",4150.165558,3111.853151
"676","11237",4217.698733,3238.049059
"677","11237",0,0
"678","11237",0,0
"679","11237",0,0
"680","11237",0,0
"681","11237",0,0
"682","11237",0,0
"683","11237",0,0
"684","11237",0,0
"685","11237",0,0
"686","11237",0,0
"687","11237",0,0
"688","11237",0,0
"689","11237",0,0
"690","11237",0,0
"691","11237",0,0
"692","11237",0,0
"693","11237",0,0
"694","11237",0,0
"695","11237",0,0
"696","11237",0,0
"697","11237",0,0
"698","11237",0,0
"699","11237",0,0
"700","11237",0,0
"701","11237",0,0
"702","11237",0,0
"703","11237",0,0
"704","11237",0,0
"705","11237",0,0
"706","11237",0,0
"707","11237",0,0
"708","11237",0,0
"709","11237",0,0
"710","11237",0,0
"711","11237",0,0
"712","11237",0,0
"713","11237",0,0
"714","11237",0,0
"715","11237",0,0
"716","11237",0,0
"717","11237",0,0
"718","11237",0,0
"719","11237",0,0
"720","11237",0,0
"721","11237",0,0
"722","11237",0,0
"723","11237",0,0
"724","11237",0,0
"725","11237",0,0
"726","11237",0,0
"727","11237",0,0
"728","11237",0,0
"729","11237",0,0
"730","11237",0,0
"731","11237",0,0
"732","11237",0,0
"733","11237",0,0
"734","11237",0,0
"735","11237",0,0
"736","11237",0,0
"737","11237",0,0
"738","11237",0,0
"739","11237",0,0
"740","11237",0,0
"741","11237",0,0
"742","11237",0,0
"743","11237",0,0
"744","11237",0,0
"745","11237",0,0
"746","11237",0,0
"747","11237",0,0
"748","11237",0,0
"749","11237",0,0
"750","11237",0,0
"751","11237",0,0
"752","11237",0,0
"753","11713",3852.646866,3631.230844
"754","11713",4282.509676,3564.540444
"755","11713",3960.035421,3323.782101
"756","11713",3959.55889,3126.907343
"757","11713",3410.252274,2346.402861
"758","11713",3032.313307,2054.412088
"759","11713",3411.345597,2346.851423
"760","11713",3413.345793,2390.800391
"761","11713",3877.368885,3811.341732
"762","11713",4159.162728,3872.579909
"763","11713",3977.568493,4016.256595
"764","11713",3854.448894,4113.825576
"765","11713",3245.739726,2112.053933
"766","11713",3546.201944,2344.384736
"767","11713",3216.377286,2016.767634
"768","11713",3591.991846,2229.590372
"769","11713",3548.172906,2444.2182
"770","11713",3702.201109,2671.70181
"771","11713",0,0
"772","11713",0,0
"773","11713",0,0
"774","11713",0,0
"775","11713",0,0
