"","Cell.line","baseline","treatment"
"421","11235",NA,NA
"422","11235",NA,NA
"423","11235",NA,NA
"424","11235",NA,NA
"425","11235",NA,NA
"426","11235",NA,NA
"427","11235",NA,NA
"428","11235",NA,NA
"429","11235",NA,NA
"430","11235",NA,NA
"431","11235",NA,NA
"432","11235",NA,NA
"433","11235",NA,NA
"434","11235",NA,NA
"435","11235",NA,NA
"436","11235",NA,NA
"437","11235",NA,NA
"438","11235",NA,NA
"439","11235",NA,NA
"440","11235",NA,NA
"441","11235",NA,NA
"442","11235",NA,NA
"443","11235",NA,NA
"444","11235",NA,NA
"445","11235",NA,NA
"446","11235",NA,NA
"447","11235",NA,NA
"448","11235",NA,NA
"449","11235",NA,NA
"450","11235",NA,NA
"451","11235",NA,NA
"452","11235",NA,NA
"453","11235",NA,NA
"454","11235",NA,NA
"455","11235",NA,NA
"456","11235",NA,NA
"457","11235",NA,NA
"458","11235",NA,NA
"459","11235",NA,NA
"460","11235",NA,NA
"461","11235",NA,NA
"462","11235",NA,NA
"463","11235",NA,NA
"464","11235",NA,NA
"465","11235",NA,NA
"466","11235",NA,NA
"467","11235",NA,NA
"468","11235",NA,NA
"469","11235",NA,NA
"470","11235",NA,NA
"471","11237",1.749374157,2.402379928
"472","11237",4.230327092,2.291676313
"473","11237",1.791569322,2.494869532
"474","11237",2.008390986,2.401845546
"475","11237",6.945705296,2.26840766
"476","11237",1.779524646,2.671859588
"477","11237",1.919466007,2.190786367
"478","11237",1.985650862,2.946773903
"479","11237",2.172433638,2.37318004
"480","11237",2.050836134,2.404740094
"481","11237",1.798393019,2.041474639
"482","11237",1.821227736,2.097939274
"483","11237",1.974017907,2.112029911
"484","11237",1.973806089,2.455080307
"485","11237",2.182331813,2.854871962
"486","11237",1.890165435,2.454110146
"487","11237",2.071727046,2.697930119
"488","11237",2.08345089,2.153385787
"489","11237",NA,NA
"490","11237",NA,NA
"491","11237",NA,NA
"492","11237",NA,NA
"493","11237",NA,NA
"494","11237",NA,NA
"495","11237",NA,NA
"496","11237",NA,NA
"497","11237",NA,NA
"498","11237",NA,NA
"499","11237",NA,NA
"500","11237",NA,NA
